feature,score
Unnamed: 0,40641
sale_amt_x,34608
rtn_amt,31414
ord_cnt,29555
offer_ord_rate,29060
offer_amt,28712
sale_rtn_rate,28155
dis_cmmt_rate,27449
offer_cnt,26886
pid_count,26570
cate_pid_rate,26266
sale_user_rate,25827
rnt_sale_rate,25431
rtn_rtn_rate,24149
cate_count,24001
rtn_cnt,23557
dis_num,23065
good_num,22089
sale_offer_rate,21504
brand_count,21028
good_cmmt_rate,20975
bad_cmmt_rate,20693
mid_cmmt_rate,19799
bad_num,19574
user_ord_rate,18143
mid_num,17389
dis_good_rate,15226
cmmt_num,10778
sale_ord_rate,10082
brand_pid_rate,9606
user_cnt,9166
offer_user_rate,9066
bad_good_rate,8725
mid_good,8634
